# index 0: u''=-u
0.110622 0.110396 0.993888 
0.110773 0.110547 0.993871 
0.110925 0.110698 0.993854 
0.111077 0.110848 0.993837 
0.111228 0.110999 0.993821 
0.11138 0.11115 0.993804 
0.111532 0.111301 0.993787 
0.111683 0.111451 0.99377 
0.111835 0.111602 0.993753 
0.111987 0.111753 0.993736 
0.112138 0.111903 0.993719 
0.11229 0.112054 0.993702 
0.112441 0.112205 0.993685 
0.112593 0.112355 0.993668 
0.112745 0.112506 0.993651 
0.112896 0.112657 0.993634 
0.113048 0.112807 0.993617 
0.1132 0.112958 0.9936 
0.113351 0.113109 0.993583 
0.113503 0.113259 0.993565 
0.113655 0.11341 0.993548 
0.113806 0.113561 0.993531 
0.113958 0.113711 0.993514 
0.114109 0.113862 0.993497 
0.114261 0.114013 0.993479 
0.114413 0.114163 0.993462 
0.114564 0.114314 0.993445 
0.114716 0.114465 0.993427 
0.114868 0.114615 0.99341 
0.115019 0.114766 0.993393 
0.115171 0.114917 0.993375 
0.115323 0.115067 0.993358 
0.115474 0.115218 0.99334 
0.115626 0.115368 0.993323 
0.115778 0.115519 0.993305 
0.115929 0.11567 0.993288 
0.116081 0.11582 0.99327 
0.116232 0.115971 0.993253 
0.116384 0.116122 0.993235 
0.116536 0.116272 0.993217 
0.116687 0.116423 0.9932 
0.116839 0.116573 0.993182 
0.116991 0.116724 0.993164 
0.117142 0.116875 0.993147 
0.117294 0.117025 0.993129 
0.117446 0.117176 0.993111 
0.117597 0.117326 0.993093 
0.117749 0.117477 0.993076 
0.1179 0.117628 0.993058 
0.118052 0.117778 0.99304 
0.118204 0.117929 0.993022 
0.118355 0.118079 0.993004 
0.118507 0.11823 0.992986 
0.118659 0.11838 0.992968 
0.11881 0.118531 0.99295 
0.118962 0.118682 0.992932 
0.119114 0.118832 0.992914 
0.119265 0.118983 0.992896 
0.119417 0.119133 0.992878 
0.119568 0.119284 0.99286 
0.11972 0.119434 0.992842 
0.119872 0.119585 0.992824 
0.120023 0.119735 0.992806 
0.120175 0.119886 0.992788 
0.120327 0.120037 0.992769 
0.120478 0.120187 0.992751 
0.12063 0.120338 0.992733 
0.120782 0.120488 0.992715 
0.120933 0.120639 0.992696 
0.121085 0.120789 0.992678 
0.121237 0.12094 0.99266 
